matrix_type,algo,n,trial,s,sampling_ratio,rel_error,runtime_sec,speedup
Sparse (1%),rmm_uniform,512,1,5,0.01,8.785716685255517,0.00227569998241961,219.73630261722434
Sparse (1%),rmm_importance,512,1,5,0.01,8.536211354640493,0.0042573000537231565,117.45798832423219
Sparse (1%),rmm_uniform,512,1,10,0.02,5.395194037541244,0.0023104999563656747,216.42670826513782
Sparse (1%),rmm_importance,512,1,10,0.02,5.973035670752416,0.004692399990744889,106.56676774981989
Sparse (1%),rmm_uniform,512,1,26,0.05,4.977655662237145,0.0028682000120170414,174.34415239797318
Sparse (1%),rmm_importance,512,1,26,0.05,3.580080997334439,0.005917299946304411,84.50710704892882
Sparse (1%),rmm_uniform,512,1,51,0.1,3.4285103459678026,0.013613299990538508,36.73274667791896
Sparse (1%),rmm_importance,512,1,51,0.1,2.762748038351293,0.005099000001791865,98.06901349818419
Sparse (1%),rmm_uniform,512,1,102,0.2,2.4840821390092223,0.003900399955455214,128.2058008701332
Sparse (1%),rmm_importance,512,1,102,0.2,1.9096014791317621,0.006921200023498386,72.2495952010083
Sparse (1%),rmm_uniform,512,2,3,0.005,9.084292364259616,0.002710500033572316,184.43888352446405
Sparse (1%),rmm_importance,512,2,3,0.005,11.21237847665152,0.004857999971136451,102.90687586565623
Sparse (1%),rmm_uniform,512,2,5,0.01,8.883948317387146,0.0021914999815635383,228.11845958968632
Sparse (1%),rmm_importance,512,2,5,0.01,8.697953287655043,0.003834799979813397,130.36445254425675
Sparse (1%),rmm_uniform,512,2,10,0.02,7.94743934470398,0.002357900026254356,212.0198458028991
Sparse (1%),rmm_importance,512,2,10,0.02,6.652253134764238,0.004567899974063039,109.44232641338508
