density,sparsity_pct,algo,n,trial,s,sampling_ratio,rel_error,runtime_sec,speedup
0.05,95.0,rmm_uniform,512,5,5,0.01,10.64774265991361,0.002468799997586757,200.37342046469414
0.05,95.0,rmm_importance,512,5,5,0.01,9.784677900500284,0.004170399974100292,118.61737555914122
0.05,95.0,rmm_uniform,512,5,10,0.02,6.694046314860413,0.002332200005184859,212.10955272272062
0.05,95.0,rmm_importance,512,5,10,0.02,6.879373535751521,0.005651300016324967,87.53417771675447
0.05,95.0,rmm_uniform,512,5,26,0.05,4.584723949507603,0.0027602000045590103,179.21958522665867
0.05,95.0,rmm_importance,512,5,26,0.05,4.379664313254254,0.0064079000148922205,77.19875447650966
0.05,95.0,rmm_uniform,512,5,51,0.1,2.975342253102611,0.002904399996623397,170.32154680305584
0.05,95.0,rmm_importance,512,5,51,0.1,2.901413317262745,0.005498000013176352,89.97488155222744
0.05,95.0,rmm_uniform,512,5,102,0.2,2.2128231870047568,0.003715700004249811,133.13289538818998
0.05,95.0,rmm_importance,512,5,102,0.2,2.2774022946601886,0.00580789998639375,85.17397013009617
0.05,95.0,rmm_uniform,512,6,3,0.005,13.512907509615209,0.002224600000772625,226.7496178078078
0.05,95.0,rmm_importance,512,6,3,0.005,12.600248123770896,0.00432629999704659,116.59552048974784
0.05,95.0,rmm_uniform,512,6,5,0.01,9.704471513598103,0.002486799960024655,202.84188839436877
0.05,95.0,rmm_importance,512,6,5,0.01,9.743738234667376,0.004915099998470396,102.62806455767371
0.05,95.0,rmm_uniform,512,6,10,0.02,7.494954425298179,0.0022692999918945134,222.28317179401358
0.05,95.0,rmm_importance,512,6,10,0.02,6.848653509558074,0.00446259998716414,113.034374893859
0.05,95.0,rmm_uniform,512,6,26,0.05,4.020797247187041,0.0034453999833203852,146.4059912905431
0.05,95.0,rmm_importance,512,6,26,0.05,4.5211828952349915,0.00463149999268353,108.91227480239557
0.05,95.0,rmm_uniform,512,6,51,0.1,2.750578514640371,0.0039166000206023455,128.79211492034472
0.05,95.0,rmm_importance,512,6,51,0.1,3.0451414632713085,0.004950300033669919,101.89830849030038
0.05,95.0,rmm_uniform,512,6,102,0.2,2.1477745917149305,0.008259499969426543,61.07236537534174
0.05,95.0,rmm_importance,512,6,102,0.2,2.151620603225155,0.006082399981096387,82.93226382976475
0.05,95.0,rmm_uniform,512,7,3,0.005,16.290156164050245,0.0020464000408537686,239.03043893109415
0.05,95.0,rmm_importance,512,7,3,0.005,12.571707853117369,0.003965299983974546,123.35810707153429
0.05,95.0,rmm_uniform,512,7,5,0.01,10.725841861621557,0.002131399989593774,229.49793674678273
0.05,95.0,rmm_importance,512,7,5,0.01,9.7483402392691,0.0036294999881647527,134.771153489168
0.05,95.0,rmm_uniform,512,7,10,0.02,6.87727880227906,0.0021010999917052686,232.80753030553578
